Time,Resistance,,,,
1,7055.57,,,,
2,6979.49,,,,
3,7127.05,,,,
4,7423.59,,,,
5,7858.91,,,,
6,9245.95,,,,
7,9482.47,,,,
8,9367.53,,,,?
9,8369.98,,,,
10,9483.76,,,,
11,8473.46,,,,
12,8273,,,,
13,8500.1,,,,
14,7376.98,,,,
15,8625.53,,,,
16,7976.13,,,,
17,6059.54,,,,
18,8445.34,,,,
19,7554.35,,,,
20,6643.22,,,,
21,7739.17,,,,
22,6709.62,,,,
23,7144.61,,,,
24,7459.43,,,,
25,6250.53,,,,
26,7976.55,,,,
27,7658.83,,,,
28,8338.41,,,,
29,8417.86,,,,
30,6402.86,,,,
31,8074.98,,,,
32,7366.23,,,,
33,6548.73,,,,
34,8799.18,,,,
35,7766.85,,,,
36,5859.05,,,,
37,7871.91,,,,
38,7053.01,,,,
39,6767.86,,,,
40,7911.74,,,,
41,4910.53,,,,
42,8265.44,,,,
43,6009.03,,,,
44,6600.92,,,,
45,8355.58,,,,
46,6358.86,,,,
47,8416.65,,,,
48,7780.2,,,,
49,6229.43,,,,
50,8619.04,,,,
51,7839.51,,,,
52,8504.9,,,,
53,7895.82,,,,
54,7332.29,,,,
55,8731.89,,,,
56,8418.38,,,,
57,5899.04,,,,
58,8960.67,,,,
59,7686.66,,,,
60,6256.83,,,,
61,9188.79,,,,
62,6906.34,,,,
63,7237.9,,,,
64,9091.89,,,,
65,6245.56,,,,
66,8758.35,,,,
67,7984.28,,,,
68,5601.19,,,,
69,8899.72,,,,
70,7269.5,,,,
71,6419.15,,,,
72,8917.31,,,,
73,5910.9,,,,
74,9270.22,,,,
75,6718.57,,,,
76,7938.87,,,,
77,8336.59,,,,
78,5982.74,,,,
79,10170.59,,,,
80,6752.48,,,,
81,10094.08,,,,
82,9379.16,,,,
83,8288.83,,,,
84,7333.84,,,,
85,7064.51,,,,
86,7194.4,,,,
87,7159.02,,,,
88,7294.26,,,,
89,7309.02,,,,
90,6919.13,,,,
91,6480.23,,,,
92,6053.69,,,,
93,5902.2,,,,
94,5205.85,,,,
95,4820.53,,,,
96,4250.37,,,,
97,5420.16,,,,
98,4832.04,,,,
99,4875.91,,,,
100,4757.75,,,,
101,5619.93,,,,
102,5243.88,,,,
103,5054.93,,,,
104,4513.84,,,,
105,4273.15,,,,
106,3853.28,,,,
107,3915.69,,,,
108,4148.37,,,,
109,3563.16,,,,
110,3617.05,,,,
111,3543.97,,,,
112,3504.77,,,,
113,3644.68,,,,
114,3834.34,,,,
115,4048.13,,,,
116,3570.85,,,,
117,3625.08,,,,
118,3281.08,,,,
119,3577.11,,,,
120,3771.08,,,,
121,3907.62,,,,
122,4127.64,,,,
123,4244.24,,,,
124,3998.78,,,,
125,3736.87,,,,
126,3795.12,,,,
127,4157.45,,,,
128,3933.32,,,,
129,3973.58,,,,
130,4090.89,,,,
131,3997.02,,,,
132,3916.54,,,,
133,3972.07,,,,
134,3885.42,,,,
135,4022.86,,,,
136,3875.45,,,,
137,3883.62,,,,
138,3886.54,,,,
139,5003.77,,,,
140,5216.38,,,,
141,4991.35,,,,
142,4566.67,,,,
